property_id,listing_id,status,list_date,community,open_houses,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,postal_code,state,city,lon,lat,central_air,central_heat,fireplace,single_story,garage_1_or_more,rental_property,community_outdoor_space,energy_efficient,garage_2_or_more,community_golf,community_security_features,golf_course_lot_or_frontage,golf_course_view,recreation_facilities,garage_3_or_more,jack_and_jill_bathroom,golf_course,hoa,carport,dishwasher,washer_dryer,big_lot,maintenance,laundry_room,two_or_more_stories,floor_plan,ensuite,private_courtyard,security,shopping,hardwood_floors,high_ceiling,storm_shelter,handicap_access,views,community_swimming_pool,modern_kitchen,open_kitchen,beautiful_backyard,open_floor_plan,big_yard,fenced_yard,master_bedroom,new_roof,front_porch,outbuilding,swimming_pool,large_kitchen,water_view,lake,groundscare,no_hoa,coffer_ceiling,lake_view,spa_or_hot_tub,basement,updated_kitchen,wrap_around_porch,solar_system,pond,corner_lot,cul_de_sac,vaulted_ceiling,master_suite,farm,private_backyard,granite_kitchen,efficient,park,gated_community,fixer_upper,ranch,big_bathroom,library,smart_homes,greenbelt,river_view,playground,trails,forced_air,investment_opportunity,disability_features,gourmet_kitchen,wooded_land,medicalcare,dining_room,cathedral_ceiling,clubhouse,first_floor_master_bedroom,furniture,large_porch,family_room,view,waterfront,tennis_court,tennis,community_center,private_bathroom,beach,senior_community,screen_porch,well_water,solar_panels,community_gym,community_spa_or_hot_tub,community_clubhouse,community_tennis_court,private_parking,basketball_court,soccer,basketball,open_house,elevator,master_bathroom,den_or_office,rv_parking,hill_or_mountain_view,mountain_view,baseball,pets_allowed,community_elevator,low_hoa,two_master_suites,guest_house,fruit_trees,wine_cellar,ocean_view,city_view,media_room,community_park,rv_or_boat_parking,river_access,theater_room,courtyard_entry,marina,volleyball,guest_parking,exposed_brick,white_kitchen,dual_master_bedroom,community_boat_facilities,kitchen_island,game_room,boat_dock,fenced_courtyard,horse_stables,horse_property,indoor_basketball_court,horse_facilities,outdoor_kitchen,detached_guest_house,equestrian,greenhouse,two_kitchen,community_horse_facilities
7997775745,2962292766,sold,2023-12-07T05:25:35.000000Z,,,1963.0,,2024-01-16,169900.0,2.0,,,7440.0,1628.0,2.0,,,1.0,1.0,4.0,single_family,,,,,,,,,,False,73127,Oklahoma,Oklahoma City,-97.639802,35.475498,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7877679688,2961539602,sold,2023-11-10T21:27:18.000000Z,,,1963.0,,2024-01-16,309900.0,3.0,,,9840.0,2276.0,3.0,,,2.0,1.0,4.0,single_family,,,,,False,,,,,False,73122,Oklahoma,Oklahoma City,-97.60548,35.504352,True,True,True,True,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8991935037,2961421252,sold,2023-11-07T16:27:13.000000Z,,,1993.0,,2024-01-16,340000.0,2.0,,1.0,10951.0,2754.0,3.0,,,3.0,1.0,3.0,single_family,,,,,False,,,,,False,73099,Oklahoma,Yukon,-97.734768,35.585748,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7366299978,2961626303,sold,2023-11-14T14:25:57.000000Z,,,1960.0,,2024-01-16,223000.0,1.0,,,45738.0,1763.0,1.0,,,,1.0,3.0,single_family,,,,,,,,,,False,73121,Oklahoma,Oklahoma City,-97.456528,35.516445,True,True,True,True,,,,,,,,,,,,,True,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7815561734,2960543408,sold,2023-10-13T21:48:09.000000Z,,,1981.0,,2024-01-12,162500.0,2.0,,1.0,,1518.0,3.0,condo,,2.0,2.0,2.0,condos,,,,,False,,,,,False,73120,Oklahoma,Oklahoma City,-97.567764,35.56255,True,True,True,,True,,True,,True,,True,,,,,,,,,True,,,,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8237977490,2962519598,sold,2023-12-13T17:26:49.000000Z,,,1992.0,,2024-01-12,510000.0,3.0,,1.0,40511.0,2985.0,4.0,,,2.0,1.0,4.0,single_family,,,,,,,,,,False,73013,Oklahoma,Edmond,-97.455055,35.603696,True,True,True,True,True,,True,,True,,True,,,True,,,,,,True,,True,,True,,,,,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8169927433,2961523085,sold,2023-11-10T14:25:58.000000Z,,,1995.0,,2024-01-12,362000.0,3.0,,,10799.0,2535.0,3.0,,,3.0,1.0,4.0,single_family,,,,,,,,,,False,73013,Oklahoma,Edmond,-97.539696,35.617449,True,True,True,True,True,,True,,True,,,,,,True,,,,,True,,,,True,,True,,,,True,True,,,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7596581461,2960656207,sold,2023-10-18T17:27:02.000000Z,,,1965.0,,2024-01-12,210000.0,2.0,,,7200.0,2156.0,2.0,,,2.0,2.0,4.0,single_family,,,,,False,,,,,False,73159,Oklahoma,Oklahoma City,-97.556508,35.389028,True,True,True,,True,True,True,,True,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7121048958,2961896671,sold,2023-11-21T19:42:49.000000Z,,,1979.0,,2024-01-12,230000.0,2.0,,,8377.0,1645.0,2.0,,,2.0,1.0,3.0,single_family,,,,,,,,,,False,73162,Oklahoma,Oklahoma City,-97.637408,35.575439,True,True,True,True,True,,True,,True,,,,,,,,,,,True,,,,True,,,,,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7654834883,2961062943,sold,2023-11-01T13:28:56.000000Z,,,2023.0,,2024-01-12,442015.0,3.0,,1.0,21850.0,2555.0,4.0,,,3.0,2.0,4.0,single_family,,,,,,,,,,False,73099,Oklahoma,Yukon,-97.698815,35.570221,True,True,True,,True,,True,True,True,,,,,,True,,,,,True,,True,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
