price_reduced_amount,year_built,sold_date,sold_price,lot_sqft,sqft,baths,garage,stories,beds,type,postal_code,state,city,central_air,central_heat,fireplace,rental_property,community_outdoor_space,energy_efficient,community_security_features,recreation_facilities,carport,dishwasher,washer_dryer,laundry_room,floor_plan,ensuite,shopping,hardwood_floors,high_ceiling,community_swimming_pool,modern_kitchen,open_floor_plan,fenced_yard,new_roof,front_porch,groundscare,basement,updated_kitchen,corner_lot,farm,park,ranch,trails,forced_air,dining_room,family_room,view
0.0,1963,2024-01-16,169900.0,7440.0,1628.0,2,1,1,4,single_family,73127,Oklahoma,Oklahoma City,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14000.0,1963,2024-01-16,309900.0,9840.0,2276.0,3,2,1,4,single_family,73122,Oklahoma,Oklahoma City,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30000.0,1993,2024-01-16,340000.0,10951.0,2754.0,3,3,1,3,single_family,73099,Oklahoma,Yukon,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1960,2024-01-16,223000.0,45738.0,1763.0,1,0,1,3,single_family,73121,Oklahoma,Oklahoma City,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5100.0,1981,2024-01-12,162500.0,7841.0,1518.0,3,2,2,2,condo,73120,Oklahoma,Oklahoma City,True,True,True,False,True,False,True,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1992,2024-01-12,510000.0,40511.0,2985.0,4,2,1,4,single_family,73013,Oklahoma,Edmond,True,True,True,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1995,2024-01-12,362000.0,10799.0,2535.0,3,3,1,4,single_family,73013,Oklahoma,Edmond,True,True,True,False,True,False,False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5000.0,1965,2024-01-12,210000.0,7200.0,2156.0,2,2,2,4,single_family,73159,Oklahoma,Oklahoma City,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1979,2024-01-12,230000.0,8377.0,1645.0,2,2,1,3,single_family,73162,Oklahoma,Oklahoma City,True,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,2023,2024-01-12,442015.0,21850.0,2555.0,4,3,2,4,single_family,73099,Oklahoma,Yukon,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
