price_reduced_amount,year_built,sold_date,sold_price,lot_sqft,sqft,baths,garage,stories,beds,postal_code,state,city,central_air,central_heat,fireplace,rental_property,energy_efficient,community_security_features,carport,dishwasher,washer_dryer,laundry_room,floor_plan,ensuite,shopping,hardwood_floors,high_ceiling,open_floor_plan,fenced_yard,new_roof,front_porch,groundscare,basement,corner_lot,farm,ranch,forced_air,dining_room,family_room,view,near_outdoors,near_rec_facilities,fancy_kitchen,type_condo,type_land,type_mobile,type_multi_family,type_other,type_single_family,type_townhome,season_autumn,season_summer,season_winter
0.0,1963,2024-01-16,169900.0,7440.0,1628.0,2,1,1,4,73127,Oklahoma,Oklahoma City,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
14000.0,1963,2024-01-16,309900.0,9840.0,2276.0,3,2,1,4,73122,Oklahoma,Oklahoma City,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
30000.0,1993,2024-01-16,340000.0,10951.0,2754.0,3,3,1,3,73099,Oklahoma,Yukon,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0.0,1960,2024-01-16,223000.0,45738.0,1763.0,1,0,1,3,73121,Oklahoma,Oklahoma City,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5100.0,1981,2024-01-12,162500.0,7841.0,1518.0,3,2,2,2,73120,Oklahoma,Oklahoma City,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.0,1992,2024-01-12,510000.0,40511.0,2985.0,4,2,1,4,73013,Oklahoma,Edmond,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0.0,1995,2024-01-12,362000.0,10799.0,2535.0,3,3,1,4,73013,Oklahoma,Edmond,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
5000.0,1965,2024-01-12,210000.0,7200.0,2156.0,2,2,2,4,73159,Oklahoma,Oklahoma City,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0.0,1979,2024-01-12,230000.0,8377.0,1645.0,2,2,1,3,73162,Oklahoma,Oklahoma City,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0.0,2023,2024-01-12,442015.0,21850.0,2555.0,4,3,2,4,73099,Oklahoma,Yukon,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
